,sentence1,sentence2,label
4945,戒烟最好的办法是什么,戒烟的最好方法是什么,1
4946,这是什么材质？,这是什么材质的,1
4947,吸血鬼日记怎么还不更新啊,校园绝品狂徒怎么不更新了！？,0
4948,亲，辛苦您截图下的哦,亲，辛苦您截图一下的哦,1
4949,睛朗的天空像什么？,什么什么的天空,0
4950,淘宝如何才能申请仅退款,淘宝怎么退款申请,1
4951,通过手机号码找人,可以通过手机号码找人嘛,1
4952,什么牌子的面膜好用。,什么牌子的面膜好用,1
4953,有谁在东莞厚街的,有谁在扬州租房？,0
4954,毛泽东的诗词有哪些,毛泽东的诗词,1
4955,上飞机了吗英语怎么说,看，她正在上飞机用英语怎么说,0
4956,攻城掠地好玩吗,攻城掠地好玩么？,1
4957,高中英语改错题，求助！,紧急求助，高财题。财务,0
4958,辛苦您将此银行卡的网银明细截图提供给我下的，辛苦您了,辛苦您将您的网银明细截图提供给我下的，辛苦您了的,1
4959,劝君更尽一杯酒，西出阳关无故人。是什么意思？,劝君更尽一杯酒西出阳关无故人是什么意思?,1
4960,新水浒传好看吗？,新水浒传好看吗，怎么样,1
4961,我的显卡支持物理加速器吗？,双显卡，物理加速有必要吗？,0
4962,什么软件可以美化图片,有什么软件可以美化图片？,1
4963,请教2010年2月新屋入伙日子,2016年一月份新屋入伙好日子,0
4964,韩国灌装的丽得姿面膜最新版包装到底什么样？,韩国丽得姿面膜有国产的么？,0
4965,格力空调怎么样,格力空调怎样,1
4966,问道最快赚钱怎么赚,问道怎么赚钱最快？,1
4967,怎么改新浪微博的背景,新浪微博背景怎么换,1
4968,马克思主义诞生的标志是什么?,马克思主义诞生的标志。是什么？,1
4969,这两种植物叫什么？急,这两种是什么植物？,1
4970,爱有声读物的怎么下载啊？,有声读物如何下载？,1
4971,国庆节手抄报怎么写,国庆节手抄报怎么写?,1
4972,这边是核实到已经转账成功的，辛苦您了。,很抱歉，于款项已提交银行成功，提现失败申请不成功，请您耐心关注到账情况。,0
4973,我当阴阳先生那的几年,我当阴阳先生哪几年,0
4974,适合剪空气刘海吗,我适合空气刘海吗？,1
4975,老虎最怕什么动物,老虎最怕的动物是什么呢？,1
4976,女生第一夜会怀孕吗,女生第一夜会疼吗,0
4977,求下图是什么动漫,下图是什么动漫,1
4978,头发长的快什么原因？,头发长的慢是什么原因？,0
4979,今天是农历几月几日属什么,属什么生肖是按农历还是新历？,0
4980,世界上较著名的香肠品种有那些,世界上比较著名的军校有哪些啊。,0
4981,神雕侠侣哪个版本好看,神雕侠侣哪个版本好看？,1
4982,海贼王里最厉害的人是谁？,海贼王里谁最厉害？(╯з╰),1
4983,目前您操作实名认证哪一步无法进行的，可以截图下页面的显示吗？,您提供您的转账流水号和您的转账的页面的截图提供给对方核实了吗？,0
4984,09内蒙古化工职业学院分数线预测,内蒙古化工职业学院对蒙生是否加分,0
4985,《不一样的美男子》更新完了吗,为什么《混沌雷修》不出第二部,0
4986,万代MG高达模型。,万代MG版高达模型的问题,0
4987,求图片、头像,求图片我的头像,1
4988,姐妹头像！一对的,情侣头像求配！,0
4989,什么是手机服务器,手机服务器是什么,1
4990,林峰的原女朋友是谁,林峰的女朋友是谁,0
4991,求跟刀剑神域一样好看的动漫,有什么动漫和刀剑神域，罪恶王冠一样好看,0
4992,怎样下载盗号木马,爱奇艺怎样下载,0
4993,麻将中听是什么意思？,麻将和出是什么意思,0
4994,求桃子老师和四个学生漫画,求桃子老师和他的四个学生漫画,1
4995,中国与巴基斯坦的关系,巴基斯坦和中国的关系,1
4996,有什么好听的舞曲？,有什么好听的舞曲,1
4997,上海小南国(宝地店),上海小南国(金融街店),0
4998,如何推广自己的微信号,怎么在网上推广自己的微信号,1
4999,游戏人生怎么开通,如何开通游戏人生,1
5000,学心理学以后能干什么呀,"本科不是心理学专业,以后想当个心理咨询师",0
5001,什么花最美丽,什么花最美丽？,1
5002,这张图片是哪个动漫里的,这张图片是什么动漫里的,1
5003,农村宅基地可以继承吗？,继承农村宅基地需要公证吗？,0
5004,我被群主踢了怎么办？,我是群主，怎样踢人啊,0
5005,牛肉怎么做,牛肉怎么炒才会嫩,0
5006,在火车上怎么补卧铺,发光鞋怎么充电头在那里,0
5007,亲是否操作过呢,嗯嗯，您现在操作下安装,0
5008,怎么样让电表不转,怎样使电表不转,1
5009,抱歉给您的使用带来不便，您可以说下您这个是操作的什么业务吗,抱歉给您的使用带来不便，可以询问下您的年龄吗,0
5010,鸡肋什么意思,鸡肋是什么意思,1
5011,什么东西天气越热，它爬得越高,什么东西越热它爬的越高。,1
5012,爸爸去哪儿贝儿唱歌,爸爸去哪儿贝儿自私,0
5013,钱多多益善是什么意思,多多益善的意思是什么？,1
5014,孕妇能吃桔子吗？,孕妇可以吃小桔子吗？,1
5015,这个具体您需要联系一下对应的保险公司的，辛苦您了。,您好，这个需要您联系保险公司核实的哦，麻烦您了,1
5016,送妈妈什么生日礼物好？有专门的创意礼品网站吗？,我想买点商务用的礼品，有什么好的网站吗？,0
5017,北京那里运动加休闲服饰专卖店比较多。,北京哪里有运动休闲服饰批发的,0
5018,我适合剪莫西干发型吗？,我适合剪莫西干发型么,1
5019,折叠自行车怎么折叠,折叠自行车怎么折叠？求步奏,1
5020,嘉兴学院怎么样？,嘉兴学院怎么样啊？,1
5021,有什么好看的电视剧啊，求介绍,有什么电视剧好看么，求介绍,1
5022,热血江湖披风问题`,热血江湖披风问题！,1
5023,求一部林正英的僵尸片,求林正英的一部僵尸片,1
5024,求一部美国电影,找一部电影，美国的,1
5025,中国海洋大学鱼山校区的研究生宿舍条件如何啊？,中国海洋大学博士生寝室条件怎么样？鱼山校区的！,0
5026,这个身份证只注册过一个支付宝哦亲,抱歉，一个身份信息只能关联认证6个支付宝账户。,0
5027,犯桃花是什么意思啊？,坏桃花是什么意思,0
5028,辛苦您填写下您的账户绑定的手机号,辛苦您提供下您账户绑定手机号码,1
5029,土豆与鸡蛋能一起吃吗？,土豆和鸡蛋能一起吃吗？,1
5030,晚上怎么抓野鸡,晚上怎么打野鸡,1
5031,这张照片的情侣图片,这张图片的情侣照片,1
5032,求这张图的情侣头像,这张图是情侣头像吗,0
5033,江苏省教育厅督导电话多少,江苏省建设厅特种作业培训电话多少,0
5034,你会因为什么辞职？,辞职了、做什么好呢,0
5035,胶南市哪里有卖潮流前线的衣服？,潮流前线衣服的质量怎么样？,0
5036,这个配置能玩消逝的光芒吗?,这种配置能玩消逝的光芒吗？,1
5037,学电子商务赚钱吗,做电子商务赚钱吗,1
5038,太阳系中逆转的行星是,做人的基本原则是？,0
5039,小厨宝什么牌子的好,小厨宝什么牌子好,1
5040,亲爱的路人是什么意思,称亲爱的是什么意思,0
5041,鲁智深的绰号,鲁智深的绰号是,1
5042,水是不是绝缘体,床是不是绝缘体,0
5043,什么笔记本性价比高？,什么笔记本的性价比高,1
5044,男生怎样打理自己不怎么硬的头发,男生怎样打理头发最好有图片,1
5045,你若安好便是晴天出自哪里（作者澄清）,你若安好，便是晴天。这句话的出处,1
5046,捷径的意思是什么,捷径是什么意思？,1
5047,这是什么字体，在线等,这是什么字体呢，在线等,1
5048,求此图高清大图。,求此锁屏高清大图！,1
5049,全部动车都有站票吗？,动车可以买站票吗？,1
5050,下水道的美人鱼在哪里能看,下水道的美人鱼在哪里看,1
5051,个人网上银行的密码和银行卡密码不一样吗,手机银行密码和银行卡密码一样吗,0
5052,风景旧曾谙的谙是什么意思,风景旧曾谙是什么意思,0
5053,怎样减少电脑辐射？,如何减少电脑的辐射？,1
5054,这个抽油烟机是什么牌子的？,什么牌子抽油烟机好,1
5055,海岛奇兵这个图怎么破,海岛奇兵这样的图怎么打？,1
5056,男士带什么样的项链好看,男士带什么样的黄金项链好看,1
5057,梦见蛇被别人打死了,梦见自己被枪打死,0
5058,爱丽丝学园第二部在哪看啊,爱丽丝学园第二部在哪,1
5059,这边查询这个支付宝账户已经认证了，您有身份信息修改过吗,您的账户已经是认证账户的，额度已经是最大化的，额度是无法进行设置的,0
5060,当您打开这个重置支付密码的时候，页面提示您几种找回方式呢？,3、点击【确认汇款并付款】，选择支付方式，输入密码进行支付。,0
5061,现在也就是需要修改一下邮箱登录名对吗？,那我同时帮您修改这个邮箱登录名您看可以吗？,1
5062,很抱歉给您带来不便，账户需要账户本人来访核实，感谢您的支持,这样是需要账户本人来访的，很抱歉给您带来不便了。,1
5063,贷记卡和信用卡有什么区别?,信用卡和贷记卡有什么区别,1
5064,何炅结婚了么？,何炅结婚了吗？,1
5065,肉和豆角怎么做,怎样晒姜豆角,0
5066,银行卡预留手机号码怎么查询,银行卡预留手机号码怎么查询？,1
5067,酒喝多了怕见光是什么原因,腿抖是什么原因,0
5068,“逐鹿中原”是指什么时代群雄纷争的史实?,“傲视群雄”什么意思？,0
5069,今年流行什么中短发发型,今年流行什么短发发型,1
5070,如何样小姨子喜欢我,我喜欢上了小姨子，该怎么办,0
5071,谁知道这个女优叫什么名字！,大家有谁知道这个女优的名字吗,1
5072,刻舟求剑(解什么生肖),刻舟求剑猜什么生肖？,1
5073,怎么把余额宝的钱转入支付宝,微信钱包里的钱能转到支付宝号吗,0
5074,刀塔传奇好玩吗？,刀塔传奇好玩吗？没玩过…,1
5075,一叶子如何代理,做一叶子代理怎么样？,1
5076,唐嫣和杨幂谁漂亮？,唐嫣和杨幂谁漂亮,1
5077,火影忍者女畜生道通灵术铃声,火影忍者畜生道说通灵术铃声,1
5078,拉拉是什么？,拉拉爱什么时候,0
5079,为什么总是在自己喜欢的女孩面前越来越笨,我喜欢的女孩知道我喜欢她后为什么总是不敢看我,0
5080,手机有QQ胡莱三国小分队吗,谁有胡莱三国无忧刷将器啊？,0
5081,一年级看图写话。,看图写话一年级,1
5082,什么电影最搞笑中国的,中国有什么搞笑的电影？,1
5083,志高空调怎么样,志高空调怎么样？,1
5084,看什么书可以充实自己,有什么能充实自己的书,1
5085,大笑江湖什么时候能在网上看那,大笑江湖什么时候在网上可以看,1
5086,我帮您创建受理单人工找回，您看可以吗,人工受理要上传证件，48个小时受理，加急是4个工作小时受理，您看可以吗？,0
5087,这印章写的是什么字！,这个印章刻的是什么字？,1
5088,怎么解除被封禁？,怎么才能解除封禁,1
5089,蘑菇不能和什么一起吃？,蘑菇和什么不能一起吃,1
5090,梦见狗咬羊是怎么回事,梦见蛇了。怎么回事,0
5091,怎么做才能让自己保持一颗平常心,怎样保持一颗平常心,1
5092,一个字形容可爱,带一个字杀的歌曲,0
5093,怎么关闭驱动防火墙,怎样关闭驱动防火墙,1
5094,建议您去银行核实一下您预留的支付宝页面手机是否和您的支付宝账户一致。,辛苦您联系淘宝客服咨询下这个156的手机账户绑定的淘宝账户是什么的,0
5095,为什么，我部落战争，更新不了,部落战争为什么更新不了,1
5096,韭菜和生姜怎样榨汁,韭菜。生姜榨汁怎么榨,1
5097,海口哪里有男士按摩的啊,贝罗红辣椒纤体按摩凝露海口哪里有卖,0
5098,关于迁户口的问题,【双户口问题】！,0
5099,剑魂之刃可以外挂吗,天天斗地主哪里能玩,0
5100,兔子肉怎么做好吃,兔子怎么才好吃,1
5101,鱼为什么睁着眼睛睡觉？,鱼为什么睁着眼睛睡觉,1
5102,在家兼职工作有什么,在家有什么兼职工作,1
5103,求哔哩哔哩弹幕网邀请码,求哔哩哔哩弹幕网邀请码！急,1
5104,高速违章在哪里处理,蕲嘉高速在哪里处理违章,1
5105,对于减肥的人晚上吃什么好呢,七夕了，做什么菜给男朋友吃么,0
5106,冒险岛中里面的人物哪个好,冒险岛哪个人物最厉害,1
5107,中国人口怎样才能减少,中国人口何时开始数量减少,0
5108,最新版天天酷跑什么坐骑最好,新版天天酷跑下一个坐骑是什么,0
5109,怎么画蝴蝶,怎么瘦蝴蝶袖？,0
5110,什么电影好看,有什么电影好看,1
5111,饭拍韩文怎么讲,怎么办韩文咋说,0
5112,怎样才可以快速赚到钱,怎样快速弄到钱,0
5113,国产手机哪个品牌好,国产手机那个品牌好,1
5114,新浪微博怎么不被封号,田紫紫的新浪微博，怎么不被封号,0
5115,九阴真经最厉害门派是哪个？,九阴真经哪个门派厉害,1
5116,海绵可以做什么,粘海绵用什么胶,0
5117,我想在昆明找工作,昆明如何找工作,1
5118,推荐一些好看的动漫,推荐好看动漫,1
5119,兰蔻视觉婚纱摄影好不好?,合肥兰蔻婚纱摄影怎么样？,0
5120,什么东西是不用手拿的,拿什么东西，不用手哦,1
5121,请问北京市外地户口产假工资如何计算？,请问怎么报考北京市的法院系统？,0
5122,有没有可以上传歌曲的网站?,有提问的网站可以上传歌曲么？,0
5123,赛尔号帮我玩,赛尔号帮做任务,0
5124,完美世界好看吗？,完美世界好看，吗,1
5125,哥哥结婚弟弟穿什么,吴世勋抱她鹿晗送她抱枕,0
5126,为什么会打喷嚏？,中国好声音为什么都选那英,0
5127,什么在什么，那是什么造句一定要有那是,"造句那.,是在.一定要今天有人回答我！四年级",0
5128,求淘宝秒杀软件,淘宝秒杀有软件吗？,1
5129,苦菊如何凉拌,怎样凉拌苦菊,1
5130,洛克王国的外挂,谁可以送我洛克王国雪影娃娃蛋,0
5131,小学苏教版五年级上册习作六,苏教版六年级上册第四单元习作,0
5132,枸杞子怎么干,枸杞子怎么吃好,0
5133,手机怎么查运行内存,怎么把手机锁屏弄成这样,0
5134,保温杯哪个牌子好？,保温杯买哪个牌子的好,1
5135,吴亦凡现在在何处啊,吴亦凡现在在哪里？,1
5136,心理不正常的人适合学心理学吗？,我是否适合选择心理学？选择学什么？,0
5137,求电影下载资源！,求电影下载资源,1
5138,大家都笑你猜中国地名,你说鬼，我也说鬼。(打一成语),0
5139,帮您转接以后，您在页面等待即可的哦。现在帮您转接，您看可以吗？,是在线转接帮您核实的哦，您在页面等待就可以了。,1
5140,求《刀剑神域》同人,关于犬夜叉同人游戏《魂》,0
5141,英雄联盟下载后安装不了,用多玩盒子录英雄联盟咋看不了,0
5142,社保卡怎么挂失,社保卡怎么挂失啊！,1
5143,这么多夜场娱乐机，哪家比较好？,哪个有名的软件公司做夜场娱乐机,0
5144,市长千金爱上我。,市长千金爱上我,1
5145,这只猫咪是什么品种？,这只猫咪是什么品种的？,1
5146,祛痘效果好的产品,迪豆祛痘效果好吗？,0
5147,有没有好看的电视剧吖,有没有好看的电视剧啊！,1
5148,多吃什么水果可以减肥,多吃什么水果减肥呢？,1
5149,醉酒后吃什么最解酒,醉酒后吃什么会解酒？,1
5150,大家帮我看看电脑配置怎么样,怎么看看电脑配置,0
5151,怎样打好乒乓球,如何打好乒乓球？,1
5152,在您对话的左上角有发送图片,qq截图，保存图片后点击输入框左上角图片发送,0
5153,我相信:杨培安,我相信杨培安,1
5154,红糖豆浆能一起吃吗,红糖和豆浆能混在一起吗？,1
5155,2016年陆风汽车会降价吗,2014年五一汽车会降价吗,0
5156,有谁知道这双鞋子是什么牌子的阿,谁知道这双鞋子是什么牌子的啊、,1
5157,滩羊毛怎么清洗,羊毛怎么清洗,0
5158,这种植物叫什么？,这种植物(树)叫什么？,1
5159,小米3手机是哪里生产的,小米手机是哪里生产的？,1
5160,帮我起个网名吧,谁为我起个网名,1
5161,我不知道什么是爱情啊,爱情。我不知道该怎么办！,0
5162,这个是什么材料的？,是什么材料啊,1
5163,谁会刷混沌与秩序之英雄战歌,武林外传体验区激活码谁给个,0
5164,给我推荐电视剧啊,推荐些新的好的电视剧,1
5165,日常英语口语900句,日常英语口语900句大全,1
5166,拉布拉多跟金毛有什么区别,金毛和拉布拉多什么区别。,1
5167,求各类戏曲MP3格式打包下载,"奶奶想听戏，哪位大神有各类戏曲的合集啊,mp3的",1
5168,现在什么游戏好玩？不要lol,现在什么游戏经典好玩？,1
5169,中国著名的桥,中国著名的泉有哪些,0
5170,在外地买车可以回本地上牌吗,在外地买车能在本地上牌吗,1
5171,天山童姥舒畅和金铭哪个演的好？,金铭和舒畅哪个天山童姥演的好？,1
5172,很抱歉，您好，请您与我保持联系，5分钟内不与小二交流系统会导致您断线的。,真的很抱歉，目前核实您的这个资金的问题可能由于网络繁忙，话费会延迟到账。,0
5173,怎么清理手机内存,手机内存如何清理？,1
5174,外场是什么意思,外场票是什么意思,0
5175,刘亦菲的四大名捕什么时候上映呢？,四大名捕大结局什么时候上映,0
5176,您好，请问您是看不到收益吗？,您好，请问您点击倒是那叫之后是如何显示的？,0
5177,有谁知道这位美女是谁啊,请问谁知道这位美女是谁,1
5178,男生可以穿女生内裤吗,女生能穿男生内裤吗？,0
5179,戴眼镜好不好,戴眼镜好不好？,1
5180,在家能做什么工作,可以在家做的工作？,1
5181,这是系统的设置，是人工无法更改的，请谅解,由于系统维护，暂停中国工商银行所有充值及支付业务，敬请谅解。,0
5182,怎样抢购淘宝网上的秒杀,淘宝网上的秒杀怎么抢购？,1
5183,什么牌子的水饺最好吃,什么牌子，什么味道的水饺好吃。,1
5184,我的世界手机板的怎么换皮肤,我的世界手机版皮肤,1
5185,内存卡坏了，如何修复,内存卡坏了，怎么修复？,1
5186,求这张图片的大图,求杨幂这张高清大图,0
5187,果然的近义词。(两个字),在括号里填反义词：[{腔[{调,0
5188,拣来的苹果手机怎么解锁,苹果五手机屏怎么解锁,0
5189,我爸爸的爷爷的怎么称呼,我是你爸爸爸爸吧,0
5190,当代书法篆刻的发展趋势是什么？,书法篆刻设计印稿里面什么叫笔画不结实,0
5191,什么的狮子,什么是狮子,1
5192,京东商城的电器怎么样？,京东商城购电器坏了怎么去修,0
5193,奥比岛甩白雪公主城堡，要的来,奥比岛甩白雪公主城堡,1
5194,乐器笙是用什么做的,笙是什么乐器,0
5195,谁知道这是啥鞋子？什么牌子的？,这双鞋子是什么牌子的谁知道？,1
5196,如何快速入睡？,怎样可以快速入睡？,1
5197,珠海哪里好玩？,5.1珠海哪个景点好玩。,1
5198,规规矩矩不惹事叫什么,规规矩矩不惹事叫什么实,1
5199,谁知道北京世纪照凡商贸有限公司的注册信息,我想知道北京祥瑞章商贸有限公司是否注册？,0
5200,怎么样才能减肚子赘肉,肚子上赘肉怎么减,1
5201,卷发怎样扎好看？,卷发怎么扎好看？,1
5202,高分子材料与工程与工程所涉及的课程,高分子材料与工程专业的就业问题怎样,0
5203,为什么社会主义道德建设要以诚实守信为重点,我国社会主义道德建设要以诚实守信为重点,0
5204,关于赞美老师的诗句,赞美老师的诗句,1
5205,三叉神经痛如何治疗？,三叉神经痛怎样治疗,1
5206,不一样的美男子什么时候播,不一样的美男子进了贴吧该怎样做,0
5207,怎么辨别发票真伪,发票如何辨别真伪,1
5208,威海有没有正规的渔业公司,海南海上丝绸之路远洋渔业有限公司是正规公司么?,0
5209,四川省省会是哪里？,四川省省会在哪里,1
5210,有什么经典好玩的闯关小游戏？,有什么不用流量又好玩的手机游戏？,0
5211,“杰”字属于水之字形的字吗？,有没有跟“床”字形近的字？,0
5212,我怎么做才能让世界和平？,我的世界南瓜怎么得(手机),0
5213,男人可以穿细跟高跟鞋吗,男人为什么不可以穿细跟高跟鞋,0
5214,怎样减肥快，不吃药,怎样可以不吃药减肥？,1
5215,有没有人告诉你是谁唱的,有没有人曾告诉你，是什么歌,0
5216,鞋子批发哪里好又便宜,哪里有又便宜又好看的衣服批发,0
5217,求巴黎没有摩天轮全文,求巴黎没有摩天轮的全文,1
5218,一()被子,一()乌云,0
5219,属鸡女和什么生肖最配,属鸡找什么生肖最配,0
5220,淘宝网投诉号码是多少？,淘宝网服务号码是多少,0
5221,三星什么手机便宜,香港三星手机便宜吗,0
5222,端详的近义词是什么,端详的近义词有什么？,1
5223,时空猎人哪个人物好用,时空猎人哪个人物好,1
5224,什么牌子的避孕药好啊？,什么牌子的避孕药好点。,1
5225,天王盖地虎什么意思,天王盖地虎是什么意思？,1
5226,支付宝红包口令从哪获取呀,支付宝红包口令在哪获取,1
5227,您好，请问是您那里不明白呢？,您好，请问是收不到吗？,0
5228,求动漫人物图片…,求一些动漫人物图片,1
5229,描写春雨的诗句,描写春雨诗句,1
5230,哪里能买到煤油,煤油哪里有的卖,1
5231,诗句中带有嘉，彬,带有桥的诗句,0
5232,漫画赚不赚钱啊？,怎么画AV漫画赚钱？,0
5233,男孩小名叫什么好听,男孩，小名叫什么好听?,1
5234,牛奶可以用微波炉加热吗,蛋挞可以用微波炉加热吗,0
5235,求一部韩国电影的名字！,求一部韩国电影的名字。,1
5236,图片女人是谁？,这个图片中的女人是谁？,1
5237,功夫派电之光明碎片怎么得,功夫派光明碎片怎么得,1
5238,生命的意义是什么？,生命的意义在于什么,1
5239,这图亮点是什么？,这图哪里有亮点,1
5240,郑州哪里有卖验银行票据的那种仪器？急急急！,请问深圳哪里有卖仪器表的啊，急急急。,0
5241,大连有什么好玩的地方?,大连都有什么好玩的地方,1
5242,您是否找回了登陆密码了呢,您可以找回登陆密码的。,1
5243,冲锋衣哪个牌子好,冲锋衣哪个牌子好/,1
5244,西游记中孙悟空,西游记孙悟空,1
5245,喜欢才会放肆，但爱就是克制。,喜欢就是放肆，但爱是克制。,1
5246,为什么男人都喜欢胸大女人,为什么男人都喜欢大胸女人,1
5247,赛尔号咋打奈尼芬多,赛尔号奈尼芬多咋打,1
5248,驾驶证查分怎么查,怎么查驾驶证档案编号,0
5249,在淘宝买东西货到付款可以吗,在淘宝上买东西可以货到付款吗,1
5250,李玉刚出家是为什么呢？,李玉刚为什么要出家,1
5251,这个紫砂壶怎么样？,这个紫砂壶值多少钱,0
5252,什么时候放假,今天书虫大作战的答案是什么,0
5253,干花生如何变鲜花生,干花生变鲜花生,1
5254,这个网红叫什么名字,这个网红叫什么名字！,1
5255,沈阳无名缘米粉具体在太原街哪？,哈尔滨哪里有卖无名缘米粉？,0
5256,肾炎会传染吗？,肾炎会通过性传染吗,1
5257,家乐福购物卡怎么查余额,家乐福购物卡余额怎么查,1
5258,用爱戴和奔腾不息分别造句,用爱戴和奔腾不息咋么造句,1
5259,恩恩亲要是注销主账户是需要注销关联账户的呢,关联账户注销的话是需要先注销子账户的了,0
5260,义乌淘宝培训哪里好,义乌淘宝培训哪里好？,1
5261,这是什么电影,这是什么电影？,1
5262,父亲节快到了，送什么礼物好呢。,父亲节送什么礼物好啊,1
5263,辽宁省实验中学上课住宿时间表,辽宁省实验中学报名日期,0
5264,您其他账户需要认证的话，操作关联认证就可以的,这样的话，建议您是可以从新操作申诉一下，申诉成功之后就可以操作认证的,0
5265,求这张图的原图！,求这张图的原图。,1
5266,陈永馨你不知道的事伴奏,你不知道的是陈永馨伴奏,1
5267,怎么投诉天猫卖家,怎么在天猫投诉卖家？,1
5268,画出下列图形的对称轴。,画出下列图形的对称轴,1
5269,如何调教老婆？,怎样调教我老婆,1
5270,属鸡汽车挂件挂什么吉利,我家镜子上面挂个汽车挂件好吗,0
5271,陆续什么意思,陆续是什么意思,1
5272,需要您提供给这个支付宝账户付款的资金来源凭证的,是的，一个是转账的详情的截图和对方的账户资金充值的资金凭证的截图的,0
5273,什么样的女人才叫美女？,什么样的女人为美女,1
5274,湿疹与痱子的区别,痱子和湿疹的区别图,1
5275,好看的玄幻小说推荐,推荐点好看的玄幻小说,1
5276,人肘子在哪个部位,肘子是哪个部位,1
5277,帮我给男朋友取个昵称,给男朋友取个亲密昵称，我不知道取什么,1
5278,求推荐一个可以上国外网站的浏览器免费的,谁有国外的聊天网站或软件谢谢免费的,0
5279,天天酷跑好玩不？,天天酷跑新版本,0
5280,苹果手机的电池,苹果手机的电池是多大的,1
5281,疯狂猜图求解,求解}疯狂猜图,1
5282,什么洗发水去油,洗发水用什么好,0
5283,卖蜂蜜的店叫什么,蜂蜜吃什么好,0
5284,结婚礼物送什么好,结婚礼物送什么好？,1
5285,韩剧美女的诞生第10集23分时的歌曲,韩剧美女的诞生第16插曲叫,0
5286,对对子孙行者,对对子：孙行者,1
5287,广州黄埔区附近那有水果批发市场,广州佛山水果批发市场,0
5288,最近都看什么电视剧呢,最近有什么好电影看,0
5289,戎组词第一个给采纳,组词第一个毕采纳,0
5290,染红色头发怎么不掉色,染红色头发要多久才会掉色,0
5291,金石篆刻与书法艺术的学习,为什么室内设计要学书法篆刻？,0
5292,您好，是的，快捷支付限额是以付款时页面显示为准的,您好，快捷支付限额是以您付款时页面显示为准的，很抱歉给您带来不便了。,0
5293,月亮代表我的心双手简谱,月亮代表我的心简谱双手,1
5294,明星都怎么减肥的啊，求明星减肥方法,明星是怎么快速减肥的,1
5295,人民大会堂这个烟哪里有卖的,人民大会堂在哪里？,0
5296,英语学习的网站有哪些？,英语学习网站有哪些？,1
5297,为什么贱人就是矫情呢！,贱人为什么多矫情,1
5298,上海有哪些知名的网络大公司？,上海有哪几家大一点的租车公司？,0
5299,现在去德国留学好吗？,去德国留学，什么样的学生可以不做APS？,0
5300,怎样让手变得又白又嫩,怎么绑头发又快又简单,0
5301,沧州哪家火锅鸡最好吃？位置在哪儿？,沧州什么地方的特色小吃最好吃?,0
5302,一起又看流星雨的大结局是什么,一起又看流星雨的大结局是什么呀,1
5303,微博收藏别人能看到吗,微博别人能看到我的收藏吗,1
5304,不是到您的银行卡的,您是转到银行卡了的，,0
5305,婴儿手推车多少钱婴儿手推车什么牌子好啊?,"各位,婴儿手推车多少钱婴儿手推车什么牌子好啊?",1
5306,出纳的现金流水账表格,出纳如何做账？,0
5307,建议您卸载支付宝钱包重新安装试下的哦,这边建议您先电脑端操作一下，或是您卸载支付宝钱包重新下载再操作转账尝试。,0
5308,怎么投诉淘宝网,淘宝网被骗怎么投诉,1
5309,有没有招聘司机的啊,有没有招聘司机的阿，,1
5310,传奇脚本是怎么做的？,传奇等级封号脚本怎么做,0
5311,花青素含量高的食物,钙含量高的食物,0
5312,大家有什么新年愿望？,新年有什么愿望？,1
5313,这是什么品种的辣椒？,这是什么品种的辣椒,1
5314,尊还能加什么偏旁并组词,是能加什么偏旁并组词,0
5315,鼻子大怎么让他变小,怎样使鼻子变小？,1
5316,请问图片中的这种狗狗是什么品种,请问我图片上的狗狗是什么品种的,1
5317,天字改一笔是什么字(),哄(第一声)可以怎样组词？,0
5318,春天有哪些花，分别有什么颜色？,"春天有哪些花开放,是什么颜色的",1
5319,如何打方向盘回正,方向盘轻如何回正,1
5320,疯狂猜歌，五个字歌名,疯狂猜歌五个字歌名。,1
5321,轮可以加什么偏旁还能组什么词语,建可以换什么偏旁组什么词语？,0
5322,初婚未育证明在哪里开？,初婚初育证明去哪里开？,0
5323,捡钱包不还这犯法吗？,捡到钱包也犯法吗,0
5324,医保卡在哪里补办？,医保卡哪里补办？,1
5325,给个魔法哈奇的号,魔法哈奇，卖号,0
5326,知道歌词求歌名？,知道歌词求歌名,1
5327,求免费的签名设计软件,求免费设计签名软件,1
5328,我的世界作弊器怎么下载,我的世界修改器怎么下载，苹果手机,0
5329,请问这种是什么植物,请问这种植物是什么？,1
5330,按键精灵怎么才能后台运行,按键精灵如何后台运行,1
5331,赞西湖的诗句,写西湖的是诗句,1
5332,初一开学第一周的周记,初一开学第一周周记,1
5333,求《约会大作战》时崎狂三的本子,《我们约会吧》歌曲,0
5334,天天飞车油箱怎么得,天天飞车怎么装油箱,1
5335,如何申请别的旺旺号,如何申请旺旺号啊,1
5336,上海和香港哪个更繁华。,上海和香港哪个最繁华,1
5337,睫毛膏什么牌子的好,睫毛膏用什么牌子的好？,1
5338,经济学专业大学生的抉择,大学生学双专业有用吗？,0
5339,老身份证可以买火车票吗,用别人的身份证可以买火车票吗？,0
5340,长春大学生周末兼职,昆明大学生周末兼职,0
5341,职称评定问题,关于职称评定问题,1
5342,电脑声卡怎么设置,如何设置电脑声卡,1
5343,倩女幽魂买号,问道在奇宝斋卖号钱放哪了,0
5344,韩语我喜欢你怎么说,韩语我喜欢你怎么说？,1
5345,买什么牌子的吉他好？,曾轶可的吉他是什么牌子的？,0
